_id,DATA,GMINA,LICZBA_POJAZDOW
1,2021-04-21,Bolesławiec,347
2,2021-04-21,Dzierżoniów,856
3,2021-04-21,Głogów,297
4,2021-04-21,Góra,228
5,2021-04-21,Góra powiat,246
6,2021-04-21,Inne,28046
7,2021-04-21,Jawor,298
8,2021-04-21,Jelenia Góra,382
9,2021-04-21,Kamienna Góra,215
10,2021-04-21,Kłodzko,1000
11,2021-04-21,Legnica,574
12,2021-04-21,Legnica powiat,249
13,2021-04-21,Lubań,211
14,2021-04-21,Lubin,682
15,2021-04-21,Lwówek,192
16,2021-04-21,Milicz,531
17,2021-04-21,Oleśnica,2225
18,2021-04-21,Oława,1498
19,2021-04-21,Polkowice,232
20,2021-04-21,Strzelin,625
21,2021-04-21,Środa Śląska,1791
22,2021-04-21,Świdnica,1311
23,2021-04-21,Trzebnica,3901
24,2021-04-21,Wałbrzych,646
25,2021-04-21,Wałbrzych powiat,212
26,2021-04-21,Wołów,611
27,2021-04-21,Wrocław,70488
28,2021-04-21,Wrocław powiat,9581
29,2021-04-21,Ząbkowice,550
30,2021-04-21,Zgorzelec,293
31,2021-04-21,Złotoryja,227
